Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
0 ,1486 ,893 ,1532 ,908 ,0 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-0.121951 ,0.000000 ,0.000000 ,1.816518 ,0.000000 ,0.000000 ,-2.161951 ,0.000000
1 ,1484 ,899 ,1527 ,909 ,10 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-0.243902 ,0.000000 ,0.000000 ,1.816274 ,0.000000 ,0.000000 ,-2.162195 ,-0.430664
2 ,1487 ,899 ,1529 ,912 ,20 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,-0.243902 ,0.000000 ,0.000000 ,1.816030 ,0.000000 ,0.000000 ,-2.162439 ,-0.909180
3 ,1485 ,898 ,1525 ,911 ,30 ,16.402637 ,16.402637 ,16.402637 ,0.000000 ,0.000000 ,-0.060976 ,0.000000 ,0.000000 ,1.815969 ,0.000000 ,0.016403 ,-2.162500 ,-1.148438
4 ,1485 ,899 ,1528 ,911 ,40 ,16.402637 ,32.805275 ,24.603956 ,0.000000 ,-14.684404 ,-0.121951 ,0.000000 ,-0.014684 ,1.815847 ,-0.000006 ,0.041007 ,-2.162622 ,-1.339844
5 ,1485 ,899 ,1526 ,912 ,50 ,32.805275 ,16.402637 ,24.603956 ,0.000000 ,14.684404 ,-0.487805 ,0.000000 ,0.000000 ,1.815360 ,-0.000006 ,0.065611 ,-2.163110 ,-2.249023
6 ,1483 ,897 ,1526 ,911 ,60 ,49.207912 ,32.805275 ,41.006592 ,0.000000 ,14.684404 ,-0.975610 ,0.000000 ,0.014684 ,1.814384 ,0.000004 ,0.106617 ,-2.164085 ,-3.062500
7 ,1483 ,897 ,1526 ,911 ,70 ,32.805275 ,32.805275 ,32.805275 ,0.000000 ,0.000000 ,-2.317073 ,0.000000 ,0.014684 ,1.812067 ,0.000013 ,0.139422 ,-2.166403 ,-3.445312
8 ,1481 ,894 ,1524 ,908 ,80 ,32.805275 ,49.207912 ,41.006592 ,0.000000 ,-14.684404 ,-3.170732 ,0.000000 ,0.000000 ,1.808896 ,0.000013 ,0.180429 ,-2.169573 ,-5.790039
9 ,1490 ,899 ,1531 ,911 ,90 ,49.207912 ,49.207912 ,49.207912 ,0.000000 ,0.000000 ,-3.475610 ,0.000000 ,0.000000 ,1.805421 ,0.000013 ,0.229637 ,-2.173049 ,-10.575195
10 ,1484 ,906 ,1527 ,914 ,100 ,65.610550 ,49.207912 ,57.409229 ,0.000000 ,14.684404 ,-5.670732 ,0.000000 ,0.014684 ,1.799750 ,0.000027 ,0.287046 ,-2.178720 ,-14.833984
11 ,1479 ,900 ,1526 ,910 ,110 ,82.013184 ,82.013184 ,82.013184 ,0.000000 ,0.000000 ,-7.256098 ,0.000000 ,0.014684 ,1.792494 ,0.000048 ,0.369059 ,-2.185976 ,-17.417969
12 ,1475 ,898 ,1521 ,907 ,120 ,49.207912 ,65.610550 ,57.409229 ,0.000000 ,-14.684404 ,-6.585366 ,0.000000 ,0.000000 ,1.785908 ,0.000048 ,0.426469 ,-2.192561 ,-19.619141
13 ,1473 ,897 ,1519 ,906 ,120 ,49.207912 ,65.610550 ,57.409229 ,0.000000 ,-14.684404 ,-5.000000 ,0.000000 ,-0.014684 ,1.780908 ,0.000034 ,0.483878 ,-2.197561 ,-22.394531
14 ,1471 ,899 ,1521 ,908 ,120 ,98.415825 ,82.013184 ,90.214508 ,0.000000 ,14.684404 ,-5.060976 ,0.000000 ,0.000000 ,1.775847 ,0.000034 ,0.574092 ,-2.202622 ,-24.643555
15 ,1470 ,901 ,1523 ,907 ,120 ,98.415825 ,98.415825 ,98.415825 ,0.000000 ,0.000000 ,-5.304878 ,0.000000 ,0.000000 ,1.770543 ,0.000034 ,0.672508 ,-2.207927 ,-27.323242
16 ,1464 ,898 ,1521 ,901 ,120 ,65.610550 ,82.013184 ,73.811867 ,0.000000 ,-14.684404 ,-3.963415 ,0.000000 ,-0.014684 ,1.766579 ,0.000015 ,0.746320 ,-2.211890 ,-31.151367
17 ,1460 ,896 ,1522 ,898 ,120 ,49.207912 ,49.207912 ,49.207912 ,0.000000 ,0.000000 ,-1.646341 ,0.000000 ,-0.014684 ,1.764933 ,0.000002 ,0.795528 ,-2.213537 ,-34.022461
18 ,1459 ,898 ,1521 ,898 ,120 ,98.415825 ,98.415825 ,98.415825 ,0.000000 ,0.000000 ,-0.975610 ,0.000000 ,-0.014684 ,1.763957 ,-0.000023 ,0.893944 ,-2.214512 ,-34.596680
19 ,1456 ,903 ,1528 ,901 ,120 ,98.415825 ,98.415825 ,98.415825 ,0.000000 ,0.000000 ,-1.951220 ,0.000000 ,-0.014684 ,1.762006 ,-0.000048 ,0.992360 ,-2.216464 ,-33.161133
20 ,1451 ,905 ,1523 ,896 ,120 ,98.415825 ,98.415825 ,98.415825 ,0.000000 ,0.000000 ,-2.195122 ,0.000000 ,-0.014684 ,1.759811 ,-0.000074 ,1.090775 ,-2.218659 ,-34.022461
21 ,1445 ,899 ,1520 ,892 ,120 ,98.415825 ,82.013184 ,90.214508 ,0.000000 ,14.684404 ,-1.951220 ,0.000000 ,0.000000 ,1.757860 ,-0.000074 ,1.180990 ,-2.220610 ,-33.831055
22 ,1439 ,900 ,1521 ,887 ,120 ,82.013184 ,82.013184 ,82.013184 ,0.000000 ,0.000000 ,-1.463415 ,0.000000 ,0.000000 ,1.756396 ,-0.000074 ,1.263003 ,-2.222073 ,-26.126953
23 ,1436 ,899 ,1520 ,884 ,120 ,82.013184 ,114.818459 ,98.415825 ,0.000000 ,-29.368809 ,-1.097561 ,0.000000 ,-0.029369 ,1.755299 ,-0.000124 ,1.361419 ,-2.223171 ,-20.289062
24 ,1432 ,899 ,1519 ,883 ,120 ,131.221100 ,114.818459 ,123.019783 ,0.000000 ,14.684404 ,-1.951220 ,0.000000 ,-0.014684 ,1.753347 ,-0.000156 ,1.484439 ,-2.225122 ,-19.092773
25 ,1427 ,899 ,1518 ,881 ,120 ,114.818459 ,82.013184 ,98.415825 ,0.000000 ,29.368809 ,-1.829268 ,0.000000 ,0.014684 ,1.751518 ,-0.000130 ,1.582855 ,-2.226951 ,-17.465820
26 ,1425 ,898 ,1519 ,878 ,120 ,98.415825 ,114.818459 ,106.617142 ,0.000000 ,-14.684404 ,-2.195122 ,0.000000 ,0.000000 ,1.749323 ,-0.000130 ,1.689472 ,-2.229146 ,-16.843750
27 ,1421 ,898 ,1519 ,875 ,120 ,98.415825 ,114.818459 ,106.617142 ,0.000000 ,-14.684404 ,-1.768293 ,0.000000 ,-0.014684 ,1.747555 ,-0.000158 ,1.796089 ,-2.230915 ,-16.891602
28 ,1417 ,895 ,1516 ,872 ,120 ,98.415825 ,114.818459 ,106.617142 ,0.000000 ,-14.684404 ,-0.426829 ,0.000000 ,-0.029369 ,1.747128 ,-0.000212 ,1.902706 ,-2.231342 ,-11.675781
29 ,1420 ,908 ,1523 ,878 ,120 ,131.221100 ,98.415825 ,114.818459 ,0.000000 ,29.368809 ,-1.280488 ,0.000000 ,0.000000 ,1.745847 ,-0.000212 ,2.017524 ,-2.232622 ,3.493164
30 ,1419 ,906 ,1521 ,876 ,120 ,114.818459 ,114.818459 ,114.818459 ,0.000000 ,0.000000 ,-3.353659 ,0.000000 ,0.000000 ,1.742494 ,-0.000212 ,2.132343 ,-2.235976 ,20.384766
