Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
0 ,113 ,744 ,1922 ,50 ,0 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.182927 ,0.000000 ,0.014684 ,0.000000 ,0.000000 ,0.000000 ,-0.620915 ,-345.966797
1 ,110 ,739 ,1916 ,45 ,0 ,0.000000 ,0.000000 ,0.000000 ,-7.000000 ,0.000000 ,0.121951 ,0.000000 ,0.014684 ,0.000122 ,0.000000 ,0.000000 ,-0.620793 ,-347.258789
2 ,111 ,740 ,1922 ,45 ,0 ,0.000000 ,0.000000 ,0.000000 ,-14.000000 ,0.000000 ,-0.060976 ,0.000000 ,0.014684 ,0.000061 ,0.000000 ,0.000000 ,-0.620854 ,-348.550781
3 ,112 ,741 ,1922 ,45 ,0 ,0.000000 ,0.000000 ,0.000000 ,-21.000000 ,0.000000 ,-0.243902 ,0.000000 ,0.014684 ,-0.000183 ,0.000000 ,0.000000 ,-0.621097 ,-349.603516
4 ,112 ,742 ,1922 ,45 ,0 ,0.000000 ,0.000000 ,0.000000 ,-28.000000 ,0.000000 ,-0.243902 ,0.000000 ,0.014684 ,-0.000427 ,0.000000 ,0.000000 ,-0.621341 ,-350.369141
5 ,111 ,739 ,1922 ,46 ,0 ,0.000000 ,16.402637 ,8.201319 ,-35.000000 ,-14.684404 ,-0.182927 ,0.000000 ,0.000000 ,-0.000610 ,0.000000 ,0.008201 ,-0.621524 ,-351.421875
6 ,112 ,741 ,1921 ,48 ,0 ,-16.402637 ,0.000000 ,-8.201319 ,-42.000000 ,-14.684404 ,-0.060976 ,0.000000 ,-0.014684 ,-0.000671 ,0.000002 ,0.000000 ,-0.621585 ,-352.378906
7 ,111 ,741 ,1923 ,47 ,0 ,-16.402637 ,16.402637 ,0.000000 ,-49.000000 ,-29.368809 ,0.121951 ,0.000000 ,-0.044053 ,-0.000549 ,0.000002 ,0.000000 ,-0.621463 ,-353.000977
8 ,113 ,741 ,1922 ,45 ,0 ,-16.402637 ,16.402637 ,0.000000 ,-56.000000 ,-29.368809 ,-0.243902 ,0.000000 ,-0.073422 ,-0.000793 ,0.000002 ,0.000000 ,-0.621707 ,-354.388672
9 ,111 ,740 ,1921 ,45 ,0 ,0.000000 ,32.805275 ,16.402637 ,-63.000000 ,-29.368809 ,-1.097561 ,0.000000 ,-0.102791 ,-0.001890 ,-0.000027 ,0.016403 ,-0.622805 ,-356.637695
10 ,112 ,740 ,1921 ,49 ,0 ,0.000000 ,32.805275 ,16.402637 ,-70.000000 ,-29.368809 ,-1.463415 ,0.000000 ,-0.132160 ,-0.003354 ,-0.000065 ,0.032805 ,-0.624268 ,-359.460938
11 ,108 ,737 ,1919 ,43 ,0 ,-32.805275 ,32.805275 ,0.000000 ,-77.000000 ,-58.737617 ,-1.646341 ,0.000000 ,-0.190897 ,-0.005000 ,-0.000065 ,0.032805 ,-0.625915 ,-361.949219
12 ,112 ,738 ,1924 ,44 ,0 ,-16.402637 ,16.402637 ,0.000000 ,-84.000000 ,-29.368809 ,-2.195122 ,0.000000 ,-0.220266 ,-0.007195 ,-0.000065 ,0.032805 ,-0.628110 ,-364.581055
13 ,109 ,740 ,1922 ,44 ,0 ,0.000000 ,49.207912 ,24.603956 ,-91.000000 ,-44.053215 ,-3.658537 ,0.000000 ,-0.264319 ,-0.010854 ,-0.000179 ,0.057409 ,-0.631768 ,-367.404297
14 ,111 ,740 ,1920 ,45 ,0 ,-16.402637 ,49.207912 ,16.402637 ,-98.000000 ,-58.737617 ,-6.585366 ,0.000000 ,-0.323057 ,-0.017439 ,-0.000271 ,0.073811 ,-0.638354 ,-370.275391
15 ,111 ,741 ,1919 ,46 ,0 ,-16.402637 ,49.207912 ,16.402637 ,-105.000000 ,-58.737617 ,-10.182927 ,0.000000 ,-0.381795 ,-0.027622 ,-0.000380 ,0.090214 ,-0.648537 ,-372.811523
16 ,114 ,742 ,1918 ,48 ,0 ,-32.805275 ,32.805275 ,0.000000 ,-112.000000 ,-58.737617 ,-12.926829 ,0.000000 ,-0.440532 ,-0.040549 ,-0.000380 ,0.090214 ,-0.661463 ,-374.294922
17 ,115 ,744 ,1918 ,50 ,0 ,-16.402637 ,32.805275 ,8.201319 ,-119.000000 ,-44.053215 ,-16.158537 ,0.000000 ,-0.484585 ,-0.056707 ,-0.000450 ,0.098415 ,-0.677622 ,-375.443359
18 ,118 ,744 ,1916 ,49 ,0 ,-16.402637 ,49.207912 ,16.402637 ,-126.000000 ,-58.737617 ,-20.548780 ,0.000000 ,-0.543323 ,-0.077256 ,-0.000605 ,0.114816 ,-0.698171 ,-375.921875
19 ,114 ,743 ,1914 ,47 ,0 ,-16.402637 ,49.207912 ,16.402637 ,-133.000000 ,-58.737617 ,-26.524391 ,0.000000 ,-0.602061 ,-0.103780 ,-0.000778 ,0.131218 ,-0.724695 ,-378.314453
20 ,113 ,748 ,1910 ,48 ,0 ,-16.402637 ,32.805275 ,8.201319 ,-140.000000 ,-44.053215 ,-31.951220 ,0.000000 ,-0.646114 ,-0.135732 ,-0.000870 ,0.139419 ,-0.756646 ,-377.357422
21 ,110 ,748 ,1902 ,45 ,0 ,-49.207912 ,32.805275 ,-8.201319 ,-147.000000 ,-73.422028 ,-39.146343 ,0.000000 ,-0.719536 ,-0.174878 ,-0.000767 ,0.131218 ,-0.795793 ,-377.740234
22 ,113 ,750 ,1904 ,48 ,0 ,-32.805275 ,16.402637 ,-8.201319 ,-154.000000 ,-44.053215 ,-47.256100 ,0.000000 ,-0.763589 ,-0.222134 ,-0.000658 ,0.123018 ,-0.843049 ,-379.319336
23 ,113 ,753 ,1898 ,49 ,0 ,-16.402637 ,32.805275 ,8.201319 ,-161.000000 ,-44.053215 ,-55.182930 ,0.000000 ,-0.807642 ,-0.277317 ,-0.000774 ,0.131218 ,-0.898232 ,-375.826172
24 ,115 ,755 ,1895 ,47 ,0 ,-16.402637 ,49.207912 ,16.402637 ,-168.000000 ,-58.737617 ,-61.707317 ,0.000000 ,-0.866380 ,-0.339024 ,-0.001022 ,0.147619 ,-0.959939 ,-371.806641
25 ,114 ,757 ,1888 ,49 ,0 ,-49.207912 ,16.402637 ,-16.402637 ,-175.000000 ,-58.737617 ,-66.707321 ,0.000000 ,-0.925118 ,-0.405732 ,-0.000757 ,0.131219 ,-1.026646 ,-366.112305
26 ,114 ,762 ,1884 ,50 ,0 ,-49.207912 ,32.805275 ,-8.201319 ,-182.000000 ,-73.422028 ,-69.756096 ,0.000000 ,-0.998540 ,-0.475488 ,-0.000614 ,0.123018 ,-1.096402 ,-360.513672
27 ,114 ,763 ,1876 ,48 ,0 ,-32.805275 ,49.207912 ,8.201319 ,-189.000000 ,-73.422028 ,-72.500000 ,0.000000 ,-1.071962 ,-0.547988 ,-0.000767 ,0.131218 ,-1.168902 ,-355.584961
28 ,114 ,765 ,1871 ,45 ,0 ,-49.207912 ,65.610550 ,8.201319 ,-196.000000 ,-102.790833 ,-75.853661 ,0.000000 ,-1.174752 ,-0.623842 ,-0.000935 ,0.139418 ,-1.244756 ,-350.704102
29 ,115 ,769 ,1862 ,46 ,0 ,-82.013184 ,49.207912 ,-16.402637 ,-203.000000 ,-117.475235 ,-80.121956 ,0.000000 ,-1.292228 ,-0.703963 ,-0.000565 ,0.123019 ,-1.324878 ,-345.823242
30 ,113 ,781 ,1854 ,51 ,0 ,-65.610550 ,65.610550 ,0.000000 ,-210.000000 ,-117.475235 ,-85.792686 ,0.000000 ,-1.409703 ,-0.789756 ,-0.000565 ,0.123019 ,-1.410671 ,-342.425781
31 ,113 ,779 ,1845 ,47 ,0 ,-49.207912 ,65.610550 ,8.201319 ,-217.000000 ,-102.790833 ,-91.829269 ,0.000000 ,-1.512494 ,-0.881585 ,-0.000782 ,0.131218 ,-1.502500 ,-339.841797
32 ,114 ,784 ,1837 ,46 ,0 ,-49.207912 ,65.610550 ,8.201319 ,-224.000000 ,-102.790833 ,-98.719513 ,0.000000 ,-1.615285 ,-0.980305 ,-0.001013 ,0.139416 ,-1.601219 ,-336.540039
33 ,114 ,788 ,1826 ,46 ,0 ,-82.013184 ,65.610550 ,-8.201319 ,-231.000000 ,-132.159637 ,-106.402443 ,0.000000 ,-1.747444 ,-1.086707 ,-0.000763 ,0.131218 ,-1.707622 ,-333.956055
34 ,114 ,792 ,1814 ,46 ,0 ,-65.610550 ,65.610550 ,0.000000 ,-238.000000 ,-117.475235 ,-113.475609 ,0.000000 ,-1.864920 ,-1.200183 ,-0.000763 ,0.131218 ,-1.821097 ,-332.472656
35 ,115 ,797 ,1800 ,48 ,0 ,-49.207912 ,82.013184 ,16.402637 ,-245.000000 ,-117.475235 ,-119.634148 ,0.000000 ,-1.982395 ,-1.319817 ,-0.001330 ,0.147611 ,-1.940732 ,-331.898438
36 ,116 ,803 ,1787 ,47 ,0 ,-65.610550 ,82.013184 ,8.201319 ,-252.000000 ,-132.159637 ,-124.878052 ,0.000000 ,-2.114554 ,-1.444695 ,-0.001633 ,0.155807 ,-2.065610 ,-332.568359
37 ,115 ,810 ,1773 ,48 ,0 ,-98.415825 ,65.610550 ,-16.402637 ,-259.000000 ,-146.844055 ,-129.268295 ,0.000000 ,-2.261399 ,-1.573964 ,-0.000986 ,0.139417 ,-2.194878 ,-334.099609
38 ,113 ,815 ,1754 ,44 ,0 ,-65.610550 ,98.415825 ,16.402637 ,-266.000000 ,-146.844055 ,-134.268295 ,0.000000 ,-2.408242 ,-1.708232 ,-0.001675 ,0.155805 ,-2.329146 ,-336.779297
39 ,115 ,820 ,1739 ,43 ,0 ,-65.610550 ,114.818459 ,24.603956 ,-273.000000 ,-161.528458 ,-138.780487 ,0.000000 ,-2.569771 ,-1.847012 ,-0.002778 ,0.180385 ,-2.467927 ,-339.554688
40 ,113 ,834 ,1718 ,48 ,0 ,-98.415825 ,82.013184 ,-8.201319 ,-280.000000 ,-161.528458 ,-142.865860 ,0.000000 ,-2.731299 ,-1.989878 ,-0.002387 ,0.172193 ,-2.610793 ,-340.416016
41 ,111 ,838 ,1695 ,43 ,0 ,-98.415825 ,98.415825 ,0.000000 ,-287.000000 ,-176.212860 ,-149.451218 ,0.000000 ,-2.907512 ,-2.139329 ,-0.002387 ,0.172193 ,-2.760244 ,-344.435547
42 ,114 ,841 ,1679 ,45 ,0 ,-98.415825 ,98.415825 ,0.000000 ,-294.000000 ,-176.212860 ,-156.402435 ,0.000000 ,-3.083725 ,-2.295732 ,-0.002387 ,0.172193 ,-2.916646 ,-348.790039
43 ,116 ,852 ,1661 ,46 ,0 ,-98.415825 ,114.818459 ,8.201319 ,-301.000000 ,-190.897263 ,-162.073181 ,0.000000 ,-3.274622 ,-2.457805 ,-0.002856 ,0.180380 ,-3.078720 ,-349.364258
44 ,117 ,863 ,1639 ,46 ,0 ,-98.415825 ,131.221100 ,16.402637 ,-308.000000 ,-205.581665 ,-167.621948 ,0.000000 ,-3.480204 ,-2.625427 ,-0.003852 ,0.196753 ,-3.246341 ,-351.565430
45 ,115 ,872 ,1619 ,45 ,0 ,-98.415825 ,114.818459 ,8.201319 ,-315.000000 ,-190.897263 ,-173.536591 ,0.000000 ,-3.671101 ,-2.798964 ,-0.004377 ,0.204937 ,-3.419878 ,-353.623047
46 ,118 ,881 ,1601 ,45 ,0 ,-114.818459 ,114.818459 ,0.000000 ,-322.000000 ,-205.581665 ,-180.731705 ,0.000000 ,-3.876683 ,-2.979695 ,-0.004377 ,0.204937 ,-3.600610 ,-355.297852
47 ,120 ,893 ,1579 ,44 ,0 ,-114.818459 ,114.818459 ,0.000000 ,-329.000000 ,-205.581665 ,-188.902451 ,0.000000 ,-4.082265 ,-3.168598 ,-0.004377 ,0.204937 ,-3.789512 ,-359.078125
48 ,119 ,901 ,1558 ,42 ,0 ,-98.415825 ,131.221100 ,16.402637 ,-336.000000 ,-205.581665 ,-196.280487 ,0.000000 ,-4.287847 ,-3.364878 ,-0.005603 ,0.221294 ,-3.985793 ,-359.365234
49 ,118 ,911 ,1537 ,42 ,0 ,-98.415825 ,131.221100 ,16.402637 ,-343.000000 ,-205.581665 ,-202.134155 ,0.000000 ,-4.493428 ,-3.567013 ,-0.006888 ,0.237646 ,-4.187927 ,-354.197266
50 ,119 ,937 ,1518 ,51 ,0 ,-114.818459 ,114.818459 ,0.000000 ,-350.000000 ,-205.581665 ,-206.707321 ,0.000000 ,-4.699010 ,-3.773720 ,-0.006888 ,0.237646 ,-4.394634 ,-349.507812
51 ,121 ,942 ,1494 ,46 ,0 ,-131.221100 ,131.221100 ,0.000000 ,-350.000000 ,-234.950470 ,-210.182938 ,0.000000 ,-4.933960 ,-3.983903 ,-0.006888 ,0.237646 ,-4.604817 ,-347.498047
52 ,122 ,950 ,1476 ,43 ,0 ,-131.221100 ,147.623734 ,8.201319 ,-350.000000 ,-249.634888 ,-212.987808 ,0.000000 ,-5.183595 ,-4.196890 ,-0.007629 ,0.245814 ,-4.817805 ,-347.593750
53 ,124 ,965 ,1455 ,45 ,0 ,-131.221100 ,147.623734 ,8.201319 ,-350.000000 ,-249.634888 ,-216.768295 ,0.000000 ,-5.433230 ,-4.413659 ,-0.008406 ,0.253979 ,-5.034574 ,-348.550781
54 ,125 ,977 ,1437 ,43 ,0 ,-147.623734 ,164.026367 ,8.201319 ,-350.000000 ,-279.003693 ,-221.097565 ,0.000000 ,-5.712234 ,-4.634757 ,-0.009222 ,0.262139 ,-5.255671 ,-347.498047
55 ,127 ,993 ,1417 ,44 ,0 ,-131.221100 ,131.221100 ,0.000000 ,-350.000000 ,-234.950470 ,-225.914642 ,0.000000 ,-5.947184 ,-4.860671 ,-0.009222 ,0.262139 ,-5.481586 ,-344.961914
56 ,130 ,1004 ,1399 ,46 ,0 ,-147.623734 ,164.026367 ,8.201319 ,-350.000000 ,-279.003693 ,-230.426834 ,0.000000 ,-6.226188 ,-5.091098 ,-0.010111 ,0.270292 ,-5.712012 ,-340.798828
57 ,133 ,1017 ,1382 ,44 ,0 ,-147.623734 ,147.623734 ,0.000000 ,-350.000000 ,-264.319275 ,-236.280487 ,0.000000 ,-6.490507 ,-5.327378 ,-0.010111 ,0.270292 ,-5.948293 ,-338.454102
58 ,135 ,1027 ,1364 ,42 ,0 ,-147.623734 ,147.623734 ,0.000000 ,-350.000000 ,-264.319275 ,-242.682938 ,0.000000 ,-6.754827 ,-5.570061 ,-0.010111 ,0.270292 ,-6.190976 ,-334.960938
59 ,137 ,1038 ,1345 ,42 ,0 ,-147.623734 ,164.026367 ,8.201319 ,-350.000000 ,-279.003693 ,-248.048782 ,0.000000 ,-7.033830 ,-5.818110 ,-0.011116 ,0.278432 ,-6.439024 ,-329.505859
60 ,139 ,1055 ,1327 ,47 ,0 ,-147.623734 ,147.623734 ,0.000000 ,-350.000000 ,-264.319275 ,-251.036591 ,0.000000 ,-7.298150 ,-6.069147 ,-0.011116 ,0.278432 ,-6.690061 ,-326.299805
61 ,139 ,1060 ,1305 ,43 ,0 ,-131.221100 ,147.623734 ,8.201319 ,-350.000000 ,-249.634888 ,-253.292694 ,0.000000 ,-7.547784 ,-6.322440 ,-0.012193 ,0.286562 ,-6.943354 ,-323.237305
62 ,146 ,1068 ,1294 ,44 ,0 ,-147.623734 ,147.623734 ,0.000000 ,-350.000000 ,-264.319275 ,-257.439026 ,0.000000 ,-7.812104 ,-6.579878 ,-0.012193 ,0.286562 ,-7.200793 ,-324.433594
63 ,151 ,1077 ,1276 ,45 ,0 ,-147.623734 ,164.026367 ,8.201319 ,-350.000000 ,-279.003693 ,-260.365845 ,0.000000 ,-8.091107 ,-6.840244 ,-0.013347 ,0.294682 ,-7.461159 ,-322.136719
64 ,155 ,1084 ,1260 ,43 ,0 ,-147.623734 ,147.623734 ,0.000000 ,-350.000000 ,-264.319275 ,-261.951233 ,0.000000 ,-8.355427 ,-7.102196 ,-0.013347 ,0.294682 ,-7.723110 ,-321.418945
